  CODE BEGUN..........................

  Simulation Parameters are nx, ny, dx, dy, w, errormax,tmax, dt, Re 
         130         130   7.69230770E-03   7.69230770E-03   1.79999995       9.99999997E-07   5.00000000       1.00000005E-03   100.000000    

 Initialising the domain ..........................

 Initiating Calculations ..........................

 time,  Error_x-AD,  Error_y-AD,  Error_PPE
  0.132000089       8.60542059E-07   1.49011612E-07   9.97390089E-07
  0.133000091       8.64267349E-07   1.78813934E-07   9.96515155E-07
  0.134000093       8.64267349E-07   1.78813934E-07   9.95758455E-07
  0.135000095       8.71717930E-07   2.08616257E-07   9.99309123E-07
  0.136000097       8.64267349E-07   1.19209290E-07   9.98377800E-07
  0.137000099       8.64267349E-07   1.78813934E-07   9.98377800E-07
  0.138000101       8.67992640E-07   1.49011612E-07   9.98377800E-07
  0.139000103       8.71717930E-07   1.78813934E-07   9.98377800E-07
  0.140000105       8.71717930E-07   1.78813934E-07   9.98377800E-07
  0.141000107       8.71717930E-07   1.78813934E-07   9.98377800E-07
  0.142000109       8.71717930E-07   2.08616257E-07   9.90927219E-07
  0.143000111       8.71717930E-07   1.49011612E-07   9.90927219E-07
  0.144000113       8.67992640E-07   2.08616257E-07   9.90927219E-07
  0.145000115       8.67992640E-07   2.08616257E-07   9.76026058E-07
  0.146000117       8.67992640E-07   1.78813934E-07   9.97526513E-07
  0.147000119       8.67992640E-07   2.08616257E-07   9.99541953E-07
  0.148000121       8.67992640E-07   1.49011612E-07   9.99076292E-07
  0.149000123       8.71717930E-07   1.78813934E-07   9.95583832E-07
  0.150000125       8.71717930E-07   1.78813934E-07   9.93488356E-07
  0.151000127       8.71717930E-07   1.78813934E-07   9.99541953E-07
  0.152000129       8.79168510E-07   1.78813934E-07   9.96282324E-07
  0.153000131       8.71717930E-07   1.78813934E-07   9.95351002E-07
  0.154000133       8.64267349E-07   1.78813934E-07   9.92091373E-07
  0.155000135       8.71717930E-07   1.78813934E-07   9.92789865E-07
  0.156000137       8.71717930E-07   2.08616257E-07   9.97970346E-07
  0.157000139       8.67992640E-07   2.08616257E-07   9.93255526E-07
  0.158000141       8.71717930E-07   1.78813934E-07   9.99076292E-07
  0.159000143       8.71717930E-07   1.78813934E-07   9.97213647E-07
  0.160000145       8.71717930E-07   2.08616257E-07   9.91974957E-07
  0.161000147       8.71717930E-07   1.78813934E-07   9.96980816E-07
  0.162000149       8.64267349E-07   2.08616257E-07   9.99309123E-07
  0.163000152       8.71717930E-07   2.08616257E-07   9.95118171E-07
  0.164000154       8.71717930E-07   1.78813934E-07   9.98377800E-07
  0.165000156       8.71717930E-07   2.08616257E-07   9.95583832E-07
  0.166000158       8.71717930E-07   2.08616257E-07   9.97446477E-07
  0.167000160       8.75443220E-07   1.78813934E-07   9.97446477E-07
  0.168000162       8.71717930E-07   1.78813934E-07   9.98377800E-07
  0.169000164       8.71717930E-07   1.49011612E-07   9.89064574E-07
  0.170000166       8.71717930E-07   2.08616257E-07   9.98377800E-07
  0.171000168       8.71717930E-07   1.49011612E-07   9.89064574E-07
  0.172000170       8.71717930E-07   1.78813934E-07   9.98377800E-07
  0.173000172       8.67992640E-07   1.78813934E-07   9.90927219E-07
  0.174000174       8.75443220E-07   1.78813934E-07   9.90927219E-07
  0.175000176       8.71717930E-07   1.78813934E-07   9.90927219E-07
  0.176000178       8.67992640E-07   1.49011612E-07   9.90927219E-07
  0.177000180       8.71717930E-07   2.08616257E-07   9.96515155E-07
  0.178000182       8.71717930E-07   1.49011612E-07   9.99309123E-07
  0.179000184       8.67992640E-07   1.49011612E-07   9.59262252E-07
  0.180000186       8.75443220E-07   1.49011612E-07   9.97766620E-07
  0.181000188       8.67992640E-07   2.08616257E-07   9.97708412E-07
  0.182000190       8.67992640E-07   2.08616257E-07   9.95445589E-07
  0.183000192       8.67992640E-07   1.78813934E-07   9.97242751E-07
  0.184000194       8.64267349E-07   1.78813934E-07   9.97839379E-07
  0.185000196       8.75443220E-07   1.78813934E-07   9.97868483E-07
  0.186000198       8.75443220E-07   1.49011612E-07   9.99385520E-07
  0.187000200       8.64267349E-07   1.78813934E-07   9.99483746E-07
  0.188000202       8.71717930E-07   1.78813934E-07   9.94878064E-07
  0.189000204       8.64267349E-07   1.49011612E-07   9.97642928E-07
  0.190000206       8.60542059E-07   1.78813934E-07   9.96296876E-07
  0.191000208       8.64267349E-07   1.49011612E-07   9.99803888E-07
  0.192000210       8.71717930E-07   1.49011612E-07   9.99934855E-07
  0.193000212       8.67992640E-07   1.78813934E-07   9.94885340E-07
  0.194000214       8.67992640E-07   1.78813934E-07   9.99541953E-07
  0.195000216       8.64267349E-07   1.78813934E-07   9.99309123E-07
  0.196000218       8.67992640E-07   1.78813934E-07   9.95583832E-07
  0.197000220       8.64267349E-07   1.78813934E-07   9.99309123E-07
  0.198000222       8.60542059E-07   2.08616257E-07   9.98377800E-07
  0.199000224       8.60542059E-07   1.78813934E-07   9.96515155E-07
  0.200000226       8.67992640E-07   1.78813934E-07   9.98377800E-07
  0.201000229       8.67992640E-07   1.78813934E-07   9.90927219E-07
  0.202000231       8.67992640E-07   1.78813934E-07   9.98377800E-07
  0.203000233       8.75443220E-07   1.49011612E-07   9.90927219E-07
  0.204000235       8.64267349E-07   1.49011612E-07   9.98377800E-07
  0.205000237       8.60542059E-07   2.08616257E-07   9.90927219E-07
  0.206000239       8.71717930E-07   1.78813934E-07   9.76026058E-07
  0.207000241       8.60542059E-07   1.78813934E-07   9.76026058E-07
  0.208000243       8.67992640E-07   1.49011612E-07   9.91567504E-07
  0.209000245       8.64267349E-07   1.78813934E-07   9.91974957E-07
  0.210000247       8.64267349E-07   1.49011612E-07   9.96864401E-07
  0.211000249       8.67992640E-07   2.08616257E-07   9.97679308E-07
  0.212000251       8.67992640E-07   1.49011612E-07   9.93721187E-07
  0.213000253       8.64267349E-07   2.08616257E-07   9.95612936E-07
  0.214000255       8.67992640E-07   1.49011612E-07   9.96165909E-07
  0.215000257       8.67992640E-07   2.08616257E-07   9.97213647E-07
  0.216000259       8.64267349E-07   1.49011612E-07   9.98959877E-07
  0.217000261       8.71717930E-07   2.08616257E-07   9.97155439E-07
  0.218000263       8.75443220E-07   1.49011612E-07   9.99309123E-07
  0.219000265       8.71717930E-07   1.78813934E-07   9.99658369E-07
  0.220000267       8.71717930E-07   1.78813934E-07   9.96398740E-07
  0.221000269       8.67992640E-07   2.08616257E-07   9.93255526E-07
  0.222000271       8.79168510E-07   1.78813934E-07   9.95059963E-07
  0.223000273       8.82893801E-07   1.49011612E-07   9.96515155E-07
  0.224000275       8.75443220E-07   1.78813934E-07   9.96515155E-07
  0.225000277       8.75443220E-07   1.78813934E-07   9.99774784E-07
  0.226000279       8.75443220E-07   2.08616257E-07   9.95583832E-07
  0.227000281       8.71717930E-07   1.78813934E-07   9.99309123E-07
  0.228000283       8.71717930E-07   2.08616257E-07   9.95583832E-07
  0.229000285       8.71717930E-07   1.49011612E-07   9.93721187E-07
  0.230000287       8.82893801E-07   1.78813934E-07   9.98377800E-07
  0.231000289       8.79168510E-07   1.78813934E-07   9.98377800E-07
  0.232000291       8.82893801E-07   1.78813934E-07   9.98377800E-07
  0.233000293       8.79168510E-07   2.38418579E-07   9.98377800E-07
  0.234000295       8.75443220E-07   1.78813934E-07   9.92789865E-07
  0.235000297       8.75443220E-07   1.78813934E-07   9.85339284E-07
  0.236000299       8.75443220E-07   1.78813934E-07   9.98377800E-07
  0.237000301       8.71717930E-07   1.78813934E-07   9.96515155E-07
  0.238000304       8.75443220E-07   1.78813934E-07   9.96515155E-07
  0.239000306       8.75443220E-07   1.78813934E-07   9.81613994E-07
  0.240000308       8.64267349E-07   1.49011612E-07   9.90927219E-07
  0.241000310       8.67992640E-07   2.08616257E-07   9.96515155E-07
  0.242000312       8.67992640E-07   1.78813934E-07   9.94987204E-07
  0.243000314       8.71717930E-07   1.78813934E-07   9.92789865E-07
  0.244000316       8.64267349E-07   1.49011612E-07   9.87682142E-07
  0.245000318       8.64267349E-07   2.08616257E-07   9.86707164E-07
  0.246000320       8.71717930E-07   1.34110451E-07   9.96893505E-07
  0.247000322       8.64267349E-07   1.78813934E-07   9.95743903E-07
  0.248000324       8.64267349E-07   1.49011612E-07   9.94186848E-07
  0.249000326       8.67992640E-07   1.78813934E-07   9.94157745E-07
  0.250000328       8.71717930E-07   1.78813934E-07   9.96369636E-07
  0.251000315       8.64267349E-07   1.78813934E-07   9.98760697E-07
  0.252000302       8.67992640E-07   1.49011612E-07   9.97395546E-07
  0.253000289       8.60542059E-07   1.78813934E-07   9.93837602E-07
  0.254000276       8.64267349E-07   1.78813934E-07   9.96282324E-07
  0.255000263       8.64267349E-07   1.78813934E-07   9.98727046E-07
  0.256000251       8.60542059E-07   2.08616257E-07   9.94186848E-07
  0.257000238       8.60542059E-07   1.78813934E-07   9.99309123E-07
  0.258000225       8.67992640E-07   1.78813934E-07   9.93721187E-07
  0.259000212       8.64267349E-07   1.78813934E-07   9.98377800E-07
  0.260000199       8.64267349E-07   1.78813934E-07   9.92789865E-07
  0.261000186       8.67992640E-07   1.49011612E-07   9.96515155E-07
  0.262000173       8.64267349E-07   1.78813934E-07   9.98377800E-07
  0.263000160       8.67992640E-07   1.78813934E-07   9.98377800E-07
