 title = "post processing tecplot"
 variables = "x", "y", "dxi", "dyi"
 zone t="big zone", i=         182 , j=         130 , datapacking=point
   2.423913      0.1473624      2.1739960E-02  0.2947247    
   2.445652      0.1473624      2.1739006E-02  0.2947247    
   2.467391      0.1473624      2.1739006E-02  0.2947247    
   2.489130      0.1473624      2.1739006E-02  0.2947247    
   2.510870      0.1473624      2.1739006E-02  0.2947247    
   2.532609      0.1473624      2.1739006E-02  0.2947247    
   2.554348      0.1473624      2.1739006E-02  0.2947247    
   2.576087      0.1473624      2.1739960E-02  0.2947247    
   2.597826      0.1473624      2.1739006E-02  0.2947247    
   2.619565      0.1473624      2.1739006E-02  0.2947247    
   2.641304      0.1473624      2.1739006E-02  0.2947247    
   2.663043      0.1473624      2.1739006E-02  0.2947247    
   2.684783      0.1473624      2.1739006E-02  0.2947247    
   2.706522      0.1473624      2.1739006E-02  0.2947247    
   2.728261      0.1473624      2.1739006E-02  0.2947247    
   2.750000      0.1473624      2.1739960E-02  0.2947247    
   2.771739      0.1473624      2.1739006E-02  0.2947247    
   2.793478      0.1473624      2.1739006E-02  0.2947247    
   2.815217      0.1473624      2.1739006E-02  0.2947247    
   2.836957      0.1473624      2.1739006E-02  0.2947247    
   2.858696      0.1473624      2.1739006E-02  0.2947247    
   2.880435      0.1473624      2.1739006E-02  0.2947247    
   2.902174      0.1473624      2.1739006E-02  0.2947247    
   2.923913      0.1473624      2.1739960E-02  0.2947247    
   2.945652      0.1473624      2.1739006E-02  0.2947247    
   2.967391      0.1473624      2.1739006E-02  0.2947247    
   2.989130      0.1473624      2.1739006E-02  0.2947247    
   3.010870      0.1473624      2.1739006E-02  0.2947247    
   3.032609      0.1473624      2.1739006E-02  0.2947247    
   3.054348      0.1473624      2.1739006E-02  0.2947247    
   3.076087      0.1473624      2.1739960E-02  0.2947247    
   3.097826      0.1473624      2.1739006E-02  0.2947247    
   3.119565      0.1473624      2.1739006E-02  0.2947247    
   3.141304      0.1473624      2.1739006E-02  0.2947247    
   3.163043      0.1473624      2.1739006E-02  0.2947247    
   3.184783      0.1473624      2.1739006E-02  0.2947247    
   3.206522      0.1473624      2.1739006E-02  0.2947247    
   3.228261      0.1473624      2.1739006E-02  0.2947247    
   3.250000      0.1473624      2.1739960E-02  0.2947247    
   3.271739      0.1473624      2.1739006E-02  0.2947247    
   3.293478      0.1473624      2.1739006E-02  0.2947247    
   3.315217      0.1473624      2.1739006E-02  0.2947247    
   3.336957      0.1473624      2.1739006E-02  0.2947247    
   3.358696      0.1473624      2.1739006E-02  0.2947247    
   3.380435      0.1473624      2.1739006E-02  0.2947247    
   3.402174      0.1473624      2.1739006E-02  0.2947247    
   3.423913      0.1473624      2.1739960E-02  0.2947247    
   3.445652      0.1473624      2.1739006E-02  0.2947247    
   3.467391      0.1473624      2.1739006E-02  0.2947247    
   3.489130      0.1473624      2.1739006E-02  0.2947247    
   3.510870      0.1473624      2.1739006E-02  0.2947247    
   3.532609      0.1473624      2.1739006E-02  0.2947247    
   3.554348      0.1473624      2.1739006E-02  0.2947247    
   3.576087      0.1473624      2.1739960E-02  0.2947247    
   3.597826      0.1473624      2.1739006E-02  0.2947247    
   3.619565      0.1473624      2.1739006E-02  0.2947247    
   3.641304      0.1473624      2.1739006E-02  0.2947247    
   3.663043      0.1473624      2.1739006E-02  0.2947247    
   3.684783      0.1473624      2.1739006E-02  0.2947247    
   3.706522      0.1473624      2.1739006E-02  0.2947247    
   3.728261      0.1473624      2.1739006E-02  0.2947247    
   3.750000      0.1473624      2.1739960E-02  0.2947247    
   3.771739      0.1473624      2.1739006E-02  0.2947247    
   3.793478      0.1473624      2.1739006E-02  0.2947247    
   3.815217      0.1473624      2.1739006E-02  0.2947247    
   3.836957      0.1473624      2.1739006E-02  0.2947247    
   3.858696      0.1473624      2.1739006E-02  0.2947247    
   3.880435      0.1473624      2.1739006E-02  0.2947247    
   3.902174      0.1473624      2.1739006E-02  0.2947247    
   3.923913      0.1473624      2.1739960E-02  0.2947247    
   3.945652      0.1473624      2.1739006E-02  0.2947247    
   3.967391      0.1473624      2.1739006E-02  0.2947247    
   3.989130      0.1473624      2.1739006E-02  0.2947247    
   4.010870      0.1473624      2.1739006E-02  0.2947247    
   4.032609      0.1473624      2.1739006E-02  0.2947247    
   4.054348      0.1473624      2.1739006E-02  0.2947247    
   4.076087      0.1473624      2.1739960E-02  0.2947247    
   4.097826      0.1473624      2.1739006E-02  0.2947247    
   4.119565      0.1473624      2.1739006E-02  0.2947247    
   4.141304      0.1473624      2.1739006E-02  0.2947247    
   4.163043      0.1473624      2.1739006E-02  0.2947247    
   4.184783      0.1473624      2.1739006E-02  0.2947247    
   4.206522      0.1473624      2.1739006E-02  0.2947247    
   4.228261      0.1473624      2.1739006E-02  0.2947247    
   4.250000      0.1473624      2.1739960E-02  0.2947247    
   4.271739      0.1473624      2.1739006E-02  0.2947247    
   4.293478      0.1473624      2.1739006E-02  0.2947247    
   4.315217      0.1473624      2.1739006E-02  0.2947247    
   4.336957      0.1473624      2.1739006E-02  0.2947247    
   4.358696      0.1473624      2.1739006E-02  0.2947247    
   4.380435      0.1473624      2.1739006E-02  0.2947247    
   4.402174      0.1473624      2.1739006E-02  0.2947247    
   4.423913      0.1473624      2.1739960E-02  0.2947247    
   4.445652      0.1473624      2.1739006E-02  0.2947247    
   4.467391      0.1473624      2.1739006E-02  0.2947247    
   4.489130      0.1473624      2.1739006E-02  0.2947247    
   4.510870      0.1473624      2.1739960E-02  0.2947247    
   4.533260      0.1473624      2.3039818E-02  0.2947247    
   4.556987      0.1473624      2.4414062E-02  0.2947247    
   4.582126      0.1473624      2.5863171E-02  0.2947247    
   4.608752      0.1473624      2.7390003E-02  0.2947247    
   4.636947      0.1473624      2.8998852E-02  0.2947247    
   4.666792      0.1473624      3.0693054E-02  0.2947247    
   4.698377      0.1473624      3.2475948E-02  0.2947247    
   4.731790      0.1473624      3.4349918E-02  0.2947247    
   4.767124      0.1473624      3.6318302E-02  0.2947247    
   4.804476      0.1473624      3.8385868E-02  0.2947247    
   4.843946      0.1473624      4.0554047E-02  0.2947247    
   4.885636      0.1473624      4.2826176E-02  0.2947247    
   4.929651      0.1473624      4.5203686E-02  0.2947247    
   4.976099      0.1473624      4.7693253E-02  0.2947247    
   5.025093      0.1473624      5.0292969E-02  0.2947247    
   5.076741      0.1473624      5.3004742E-02  0.2947247    
   5.131161      0.1473624      5.5833340E-02  0.2947247    
   5.188466      0.1473624      5.8776855E-02  0.2947247    
   5.248773      0.1473624      6.1838150E-02  0.2947247    
   5.312200      0.1473624      6.5014839E-02  0.2947247    
   5.378860      0.1473624      6.8306923E-02  0.2947247    
   5.448872      0.1473624      7.1715832E-02  0.2947247    
   5.522348      0.1473624      7.5237274E-02  0.2947247    
   5.599401      0.1473624      7.8866959E-02  0.2947247    
   5.680136      0.1473624      8.2602978E-02  0.2947247    
   5.764657      0.1473624      8.6441040E-02  0.2947247    
   5.853065      0.1473624      9.0373993E-02  0.2947247    
   5.945450      0.1473624      9.4396114E-02  0.2947247    
   6.041897      0.1473624      9.8497868E-02  0.2947247    
   6.142481      0.1473624      0.1026692      0.2947247    
   6.247266      0.1473624      0.1069007      0.2947247    
   6.356308      0.1473624      0.1111832      0.2947247    
   6.469648      0.1473624      0.1154981      0.2947247    
   6.587314      0.1473624      0.1198330      0.2947247    
   6.709318      0.1473624      0.1241760      0.2947247    
   6.835658      0.1473624      0.1285028      0.2947247    
   6.966310      0.1473624      0.1328020      0.2947247    
   7.101236      0.1473624      0.1370511      0.2947247    
   7.240376      0.1473624      0.1412287      0.2947247    
   7.383649      0.1473624      0.1453171      0.2947247    
   7.530955      0.1473624      0.1492953      0.2947247    
   7.682171      0.1473624      0.1531358      0.2947247    
   7.837151      0.1473624      0.1568241      0.2947247    
   7.995728      0.1473624      0.1603293      0.2947247    
   8.157711      0.1473624      0.1636381      0.2947247    
   8.322892      0.1473624      0.1667233      0.2947247    
   8.491038      0.1473624      0.1695690      0.2947247    
   8.661898      0.1473624      0.1721487      0.2947247    
   8.835197      0.1473624      0.1744528      0.2947247    
   9.010653      0.1473624      0.1764584      0.2947247    
   9.187960      0.1473624      0.1781540      0.2947247    
   9.366800      0.1473624      0.1795273      0.2947247    
   9.546846      0.1473624      0.1805639      0.2947247    
   9.727758      0.1473624      0.1812620      0.2947247    
   9.909195      0.1473624      0.1816101      0.2947247    
   10.09081      0.1473624      0.1816101      0.2947247    
 -0.2742726      0.4317160      0.5485451      0.2739826    
  0.2742726      0.4317160      0.5485451      0.2739826    
  0.7853960      0.4317160      0.4737018      0.2739826    
   1.202225      0.4317160      0.3599571      0.2739826    
   1.506119      0.4317160      0.2478290      0.2739826    
   1.709665      0.4317160      0.1592630      0.2739826    
   1.838225      0.4317160      9.7856998E-02  0.2739826    
   1.916393      0.4317160      5.8478951E-02  0.2739826    
   1.962816      0.4317160      3.4368038E-02  0.2739826    
   1.990000      0.4317160      1.9999981E-02  0.2739826    
   2.010870      0.4317160      2.1739006E-02  0.2739826    
   2.032609      0.4317160      2.1739006E-02  0.2739826    
   2.054348      0.4317160      2.1739006E-02  0.2739826    
   2.076087      0.4317160      2.1739960E-02  0.2739826    
   2.097826      0.4317160      2.1739006E-02  0.2739826    
   2.119565      0.4317160      2.1739006E-02  0.2739826    
   2.141304      0.4317160      2.1739006E-02  0.2739826    
   2.163043      0.4317160      2.1739006E-02  0.2739826    
   2.184783      0.4317160      2.1739006E-02  0.2739826    
   2.206522      0.4317160      2.1739006E-02  0.2739826    
   2.228261      0.4317160      2.1739006E-02  0.2739826    
   2.250000      0.4317160      2.1739960E-02  0.2739826    
   2.271739      0.4317160      2.1739006E-02  0.2739826    
   2.293478      0.4317160      2.1739006E-02  0.2739826    
   2.315217      0.4317160      2.1739006E-02  0.2739826    
   2.336957      0.4317160      2.1739006E-02  0.2739826    
   2.358696      0.4317160      2.1739006E-02  0.2739826    
   2.380435      0.4317160      2.1739006E-02  0.2739826    
   2.402174      0.4317160      2.1739006E-02  0.2739826    
   2.423913      0.4317160      2.1739960E-02  0.2739826    
   2.445652      0.4317160      2.1739006E-02  0.2739826    
   2.467391      0.4317160      2.1739006E-02  0.2739826    
   2.489130      0.4317160      2.1739006E-02  0.2739826    
   2.510870      0.4317160      2.1739006E-02  0.2739826    
   2.532609      0.4317160      2.1739006E-02  0.2739826    
   2.554348      0.4317160      2.1739006E-02  0.2739826    
   2.576087      0.4317160      2.1739960E-02  0.2739826    
   2.597826      0.4317160      2.1739006E-02  0.2739826    
   2.619565      0.4317160      2.1739006E-02  0.2739826    
   2.641304      0.4317160      2.1739006E-02  0.2739826    
   2.663043      0.4317160      2.1739006E-02  0.2739826    
   2.684783      0.4317160      2.1739006E-02  0.2739826    
   2.706522      0.4317160      2.1739006E-02  0.2739826    
   2.728261      0.4317160      2.1739006E-02  0.2739826    
   2.750000      0.4317160      2.1739960E-02  0.2739826    
   2.771739      0.4317160      2.1739006E-02  0.2739826    
   2.793478      0.4317160      2.1739006E-02  0.2739826    
   2.815217      0.4317160      2.1739006E-02  0.2739826    
   2.836957      0.4317160      2.1739006E-02  0.2739826    
   2.858696      0.4317160      2.1739006E-02  0.2739826    
   2.880435      0.4317160      2.1739006E-02  0.2739826    
   2.902174      0.4317160      2.1739006E-02  0.2739826    
   2.923913      0.4317160      2.1739960E-02  0.2739826    
   2.945652      0.4317160      2.1739006E-02  0.2739826    
   2.967391      0.4317160      2.1739006E-02  0.2739826    
   2.989130      0.4317160      2.1739006E-02  0.2739826    
   3.010870      0.4317160      2.1739006E-02  0.2739826    
   3.032609      0.4317160      2.1739006E-02  0.2739826    
   3.054348      0.4317160      2.1739006E-02  0.2739826    
   3.076087      0.4317160      2.1739960E-02  0.2739826    
   3.097826      0.4317160      2.1739006E-02  0.2739826    
   3.119565      0.4317160      2.1739006E-02  0.2739826    
   3.141304      0.4317160      2.1739006E-02  0.2739826    
   3.163043      0.4317160      2.1739006E-02  0.2739826    
   3.184783      0.4317160      2.1739006E-02  0.2739826    
   3.206522      0.4317160      2.1739006E-02  0.2739826    
   3.228261      0.4317160      2.1739006E-02  0.2739826    
   3.250000      0.4317160      2.1739960E-02  0.2739826    
   3.271739      0.4317160      2.1739006E-02  0.2739826    
   3.293478      0.4317160      2.1739006E-02  0.2739826    
   3.315217      0.4317160      2.1739006E-02  0.2739826    
   3.336957      0.4317160      2.1739006E-02  0.2739826    
   3.358696      0.4317160      2.1739006E-02  0.2739826    
   3.380435      0.4317160      2.1739006E-02  0.2739826    
   3.402174      0.4317160      2.1739006E-02  0.2739826    
   3.423913      0.4317160      2.1739960E-02  0.2739826    
   3.445652      0.4317160      2.1739006E-02  0.2739826    
   3.467391      0.4317160      2.1739006E-02  0.2739826    
   3.489130      0.4317160      2.1739006E-02  0.2739826    
   3.510870      0.4317160      2.1739006E-02  0.2739826    
   3.532609      0.4317160      2.1739006E-02  0.2739826    
   3.554348      0.4317160      2.1739006E-02  0.2739826    
   3.576087      0.4317160      2.1739960E-02  0.2739826    
   3.597826      0.4317160      2.1739006E-02  0.2739826    
   3.619565      0.4317160      2.1739006E-02  0.2739826    
   3.641304      0.4317160      2.1739006E-02  0.2739826    
   3.663043      0.4317160      2.1739006E-02  0.2739826    
   3.684783      0.4317160      2.1739006E-02  0.2739826    
   3.706522      0.4317160      2.1739006E-02  0.2739826    
   3.728261      0.4317160      2.1739006E-02  0.2739826    
   3.750000      0.4317160      2.1739960E-02  0.2739826    
   3.771739      0.4317160      2.1739006E-02  0.2739826    
   3.793478      0.4317160      2.1739006E-02  0.2739826    
   3.815217      0.4317160      2.1739006E-02  0.2739826    
   3.836957      0.4317160      2.1739006E-02  0.2739826    
   3.858696      0.4317160      2.1739006E-02  0.2739826    
   3.880435      0.4317160      2.1739006E-02  0.2739826    
   3.902174      0.4317160      2.1739006E-02  0.2739826    
   3.923913      0.4317160      2.1739960E-02  0.2739826    
   3.945652      0.4317160      2.1739006E-02  0.2739826    
   3.967391      0.4317160      2.1739006E-02  0.2739826    
   3.989130      0.4317160      2.1739006E-02  0.2739826    
   4.010870      0.4317160      2.1739006E-02  0.2739826    
   4.032609      0.4317160      2.1739006E-02  0.2739826    
   4.054348      0.4317160      2.1739006E-02  0.2739826    
   4.076087      0.4317160      2.1739960E-02  0.2739826    
   4.097826      0.4317160      2.1739006E-02  0.2739826    
   4.119565      0.4317160      2.1739006E-02  0.2739826    
   4.141304      0.4317160      2.1739006E-02  0.2739826    
   4.163043      0.4317160      2.1739006E-02  0.2739826    
   4.184783      0.4317160      2.1739006E-02  0.2739826    
   4.206522      0.4317160      2.1739006E-02  0.2739826    
   4.228261      0.4317160      2.1739006E-02  0.2739826    
   4.250000      0.4317160      2.1739960E-02  0.2739826    
   4.271739      0.4317160      2.1739006E-02  0.2739826    
   4.293478      0.4317160      2.1739006E-02  0.2739826    
   4.315217      0.4317160      2.1739006E-02  0.2739826    
   4.336957      0.4317160      2.1739006E-02  0.2739826    
   4.358696      0.4317160      2.1739006E-02  0.2739826    
   4.380435      0.4317160      2.1739006E-02  0.2739826    
