           1   4.000000       2.500000             102          62
 
 Time  U   V  P
   101.5641     -8.3159894E-02 -0.4908594       3.463898    
   101.5691     -8.4078781E-02 -0.4930137       3.465715    
   101.5741     -8.5015997E-02 -0.4951487       3.467624    
   101.5791     -8.5971311E-02 -0.4972645       3.469548    
   101.5841     -8.6944573E-02 -0.4993616       3.471419    
   101.5891     -8.7935880E-02 -0.5014393       3.473381    
   101.5941     -8.8945143E-02 -0.5034974       3.475351    
   101.5991     -8.9972176E-02 -0.5055368       3.477260    
   101.6041     -9.1017447E-02 -0.5075548       3.479384    
   101.6091     -9.2080534E-02 -0.5095514       3.481477    
   101.6141     -9.3160950E-02 -0.5115268       3.483534    
   101.6191     -9.4258420E-02 -0.5134808       3.485615    
   101.6241     -9.5372185E-02 -0.5154148       3.487586    
   101.6291     -9.6502393E-02 -0.5173288       3.489588    
   101.6341     -9.7649418E-02 -0.5192215       3.491678    
   101.6391     -9.8812707E-02 -0.5210948       3.493600    
   101.6441     -9.9992618E-02 -0.5229485       3.495563    
   101.6491     -0.1011897     -0.5247811       3.497617    
   101.6541     -0.1024031     -0.5265945       3.499516    
   101.6591     -0.1036331     -0.5283877       3.501452    
   101.6641     -0.1048801     -0.5301597       3.503466    
   101.6691     -0.1061435     -0.5319105       3.505422    
   101.6741     -0.1074227     -0.5336410       3.507268    
   101.6791     -0.1087177     -0.5353506       3.509117    
   101.6841     -0.1100285     -0.5370385       3.511007    
   101.6891     -0.1113549     -0.5387047       3.512816    
   101.6941     -0.1126969     -0.5403485       3.514635    
   101.6991     -0.1140533     -0.5419729       3.516199    
   101.7041     -0.1154255     -0.5435749       3.517970    
   101.7091     -0.1168130     -0.5451561       3.519566    
   101.7141     -0.1182159     -0.5467163       3.521136    
   101.7191     -0.1196341     -0.5482567       3.522608    
   101.7241     -0.1210687     -0.5497752       3.524168    
   101.7290     -0.1225189     -0.5512735       3.525580    
   101.7340     -0.1239849     -0.5527511       3.526971    
   101.7390     -0.1254667     -0.5542083       3.528305    
   101.7440     -0.1269645     -0.5556444       3.529645    
   101.7490     -0.1284783     -0.5570586       3.530943    
   101.7540     -0.1300070     -0.5584530       3.532100    
   101.7590     -0.1315520     -0.5598249       3.533352    
   101.7640     -0.1331121     -0.5611753       3.534486    
   101.7690     -0.1346880     -0.5625035       3.535625    
   101.7740     -0.1362791     -0.5638095       3.536718    
   101.7790     -0.1378860     -0.5650925       3.537815    
   101.7840     -0.1395080     -0.5663526       3.538870    
   101.7890     -0.1411454     -0.5675895       3.539918    
   101.7940     -0.1427977     -0.5688034       3.540947    
   101.7990     -0.1444652     -0.5699939       3.541989    
   101.8040     -0.1461479     -0.5711601       3.543050    
   101.8090     -0.1478456     -0.5723024       3.544115    
   101.8140     -0.1495576     -0.5734210       3.545179    
   101.8190     -0.1512847     -0.5745140       3.546332    
   101.8240     -0.1530258     -0.5755821       3.547461    
   101.8290     -0.1547809     -0.5766245       3.548649    
   101.8340     -0.1565500     -0.5776405       3.549887    
   101.8390     -0.1583324     -0.5786301       3.551131    
   101.8440     -0.1601282     -0.5795928       3.552437    
   101.8490     -0.1619367     -0.5805285       3.553755    
   101.8540     -0.1637583     -0.5814365       3.555138    
   101.8590     -0.1655924     -0.5823168       3.556533    
   101.8640     -0.1674389     -0.5831692       3.557972    
   101.8690     -0.1692979     -0.5839931       3.559455    
   101.8740     -0.1711690     -0.5847886       3.560950    
   101.8790     -0.1730524     -0.5855547       3.562513    
   101.8840     -0.1749475     -0.5862920       3.564051    
   101.8890     -0.1768544     -0.5870004       3.565632    
   101.8940     -0.1787727     -0.5876794       3.567217    
   101.8990     -0.1807028     -0.5883278       3.568866    
   101.9040     -0.1826443     -0.5889457       3.570502    
   101.9090     -0.1845966     -0.5895333       3.572129    
   101.9139     -0.1865595     -0.5900909       3.573748    
   101.9189     -0.1885332     -0.5906169       3.575418    
   101.9239     -0.1905171     -0.5911124       3.577032    
   101.9289     -0.1925114     -0.5915759       3.578692    
   101.9339     -0.1945154     -0.5920087       3.580291    
   101.9389     -0.1965297     -0.5924086       3.581962    
   101.9439     -0.1985532     -0.5927768       3.583553    
   101.9489     -0.2005851     -0.5931140       3.585112    
   101.9539     -0.2026258     -0.5934193       3.586668    
   101.9589     -0.2046754     -0.5936914       3.588245    
   101.9639     -0.2067326     -0.5939317       3.589736    
   101.9689     -0.2087976     -0.5941398       3.591217    
   101.9739     -0.2108699     -0.5943154       3.592683    
